mitra_name,address,description,program,course_position
PT Home Credit Indonesia,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520 ","Data analysis with Python Collect and interpret data from internal storage systems (Oracle) Query data using SQL and process automation (SQL jobs, procedures, ODBC to excel) Advanced Microsoft Excel skills for data analysis Adaptability",Magang,Collection Analyst
PT Semesta Integrasi Digital,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Ability to Coordinate Impact Report Design Analysis of training materials Preparation of your Sekolah.mu and Career LMS Preparation of training materials Development of Charter and Assessment Programs,Magang,College and Professional Learning Designer
PT XL Axiata Tbk,(Alamat Tidak Tersedia),Communication,Magang,Commerce Intern
PT Shippindo Teknologi Logistik,"GoWork XL Axiata Tower 10th floor Jl. H. R. Rasuna Said X5 Kav. 11-12, Kuningan, Jakarta Selatan, Indonesia",Ability to become an Individual Contributor Ability to innovate in a company Understanding of work behavior in a technology company Customer Centric Operation for Account Management Negotiation Skill Understanding of logistics and warehousing technology business models Project Management,Magang,Commercial Account Manager Intern
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Basic Project Management Communication Skill Management Skill Data Analysis (inc Basic Ms Excel) Presentation Skill Seller Management Skill Problem Solving,Magang,Commercial - FMCG Intern (Beauty Marketplace)
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Seller Management Skill Communication Skill Problem Solving Basic Project Management Management Skill Data Analysis (inc Basic Ms Excel) Presentation Skill,Magang,Commercial - FMCG Intern (Beauty Retail)
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Problem Solving Basic Project Management Data Analysis Priority Management Communication Skills Presentation Skill Business Strategy,Magang,Commercial - FMCG Intern (Health)
PT XL Axiata Tbk,(Alamat Tidak Tersedia),Data Visualization Agility Project Management Time Management Communication skills,Magang,Commercial GTM Intern
PT XL Axiata Tbk,(Alamat Tidak Tersedia),SQL Project Management Communication skills Agility Time Management,Magang,Commercial Intern
PT Global Tiket Network,"Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia ",Data Visualization  Data Analytics  Project Management  Teamwork & Collaboration Skills Communication,Magang,Commercial Intern
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Banners Creation for BAU Campaign Communication Skill Presentation Skill Management Skill Design Skill Problem Solving UI/UX Design for our Platform,Magang,Commercial Platform-Creative
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Problem Solving Planning & Organizing Skills Product Knowledge Project Handling Microsoft Office Presentation Skill Communication Skill,Magang,Commercial - Project Intern
PT Shippindo Teknologi Logistik,"GoWork XL Axiata Tower 10th floor Jl. H. R. Rasuna Said X5 Kav. 11-12, Kuningan, Jakarta Selatan, Indonesia",Customer Centric Sales Operation Negotiation Skill Marketing Funnel Understanding of logistics and warehousing technology business models Ability to become an Individual Contributor Understanding of work behavior in a technology company Ability to innovate in a company,Magang,Commercial Sales Intern
PT Karya Dua Anyam,(Alamat Tidak Tersedia),Ensure that every message that will be sent to the user has a minimum retention component. Responsible for questions regarding communication from Krealogy to users.Reports on topics that enter WhatsApp on a weekly basis reports on the results of communications that have been carried out and uptake from communications with users Final check of grammar and messages of all drafts before sending to users Provide and standardize problem flow (Customer Service problem template ) weekly reports related to ongoing communication and the impact resulting from communication with users,Magang,Communication Specialist Intern
PT Stadikel Edukasi Teknologi,"Jl. Ki Hajar Dewantara No. 73, Jawa Barat",Creative Communication Editorial Copywriting Verbal Communication and Public Speaking Multimedia Content Production Social Media Communication,Magang,Communication Specialist/Strategist
PT Pilihanmu Indonesia Jaya,"Jalan Asem Baris Raya Blok A17, Kebon Baru, Tebet, Jakarta Selatan, DKI Jakarta",Business Insight Campaign Strategy Training & Coaching Community Development Analytics Pengelolaan Tools Project,Magang,Community Development
PT Global Digital Niaga,"Jl. Budi Kemuliaan 1 No. 1, Gambir, Jakarta Pusat",Ability to conceptualize events / events Ability to cooperate and communicate with others Ability to execute and evaluate an event Self Leadership Ability Analysis and Problem Solving Ability,Magang,Community Event & Partnership  Intern
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,Community Management Event Organizer Manajemen Proyek Team Work Public Speaking,Magang,Community Manager
PT Central Artificial Intelligence,(Alamat Tidak Tersedia),Community Management Team Work Management Proyek Public Speaking Event Organizer Kemampuan Digital Marketing,Magang,Community Manager & Partnership
PT Semesta Integrasi Digital,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Project Support Administrative capabilities Communication skills Coordination capabilities Data Management capabilities,Magang,Community Specialist
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Strategic Communication Plan Content Design Content Strategy Content Review Content Delivery Value - Harmonis	 Value - Adaptif	 Job Performance Value - Kolaboratif	 Value - Loyal Value - Amanah	 Value - Kompeten,Magang,Conten Creator (Animator)
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Project Management Research & Competitive Benchmark Problem Solving Presentation Skill Quality Control Knowledge Data Analysis Category Business Process Improvement,Magang,Content & Assortment Product Intern
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Content Review Strategic Communication Plan Content Strategy Content Delivery Content Design Job Performance Value - Kompeten	 Value - Harmonis	 Value - Loyal	 Value - Adaptif	 Value - Amanah	 Value - Kolaboratif,Magang,Content Creator
PT Sebangku Jaya Abadi,Yogyakarta,Visual Branding Creative Thinking Design Thinking Desain Media Interaktif Video production,Magang,Content Creator
PT Mitra Integrasi Informatika,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Digital Marketing framework Traffic and Funneling Reporting Social Media Strategy Digital Marketing 101 Campaign Planning and Budgeting Digital Marketing Plan Campaign & Key Opinion Leader Social Media Plan Basic Copywriting,Magang,Content Creator
PT GIT SOLUTION,(Alamat Tidak Tersedia),"Understanding of content preparation and implementation AIDA Techniques and Copywriting Basics of SEO & SEM Design Thinking Creating Content Strategy and creative Class orientation (Brainstorming, Team Work, Introduction to Tools)",Magang,Content Creator
PT Pilihanmu Indonesia Jaya,"Jalan Asem Baris Raya Blok A17, Kebon Baru, Tebet, Jakarta Selatan, DKI Jakarta",Communication Design Business Insight Digital marketing Creative Brief Creative Content Campaign Strategy,Magang,Content Creator
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Content Review Content Strategy Strategic Communication Plan Content Design Content Delivery Value - Loyal Value - Amanah	 Value - Kompeten	 Job Performance Value - Adaptif	 Value - Kolaboratif	 Value - Harmonis,Magang,Content Creator
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Value - Kompeten	 Job Performance Content Design Strategic Communication Plan Content Strategy Content Review Content Delivery Value - Loyal	 Value - Kolaboratif	 Value - Amanah	 Value - Harmonis	 Value - Adaptif,Magang,Content Creator
PT Central Artificial Intelligence,(Alamat Tidak Tersedia),Promotion Management Brand Awareness Content Writer/ SEO Digital Marketing,Magang,Content Creator
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,Project Management Jr. Designer Content Creator and Technical Writer Research Jr.Content Creator dan Technical Writer Team Work,Magang,Content Creator dan Technical Writer
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Understanding and being able to improve the work experience of employees at Vidio Understanding makes operational processes within HR more effective and efficient Reporting Skills Teamwork Skills Communication Skills,Magang,Content Creator - Employer Branding (HR)
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Content Review Content Design Content Delivery Strategic Communication Plan Content Strategy Value - Kompeten	 Job Performance Value - Adaptif	 Value - Harmonis	 Value - Loyal	 Value - Kolaboratif	 Value - Amanah,Magang,Content Creator (Voice Talent)
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Learning in Maintain Partner Neat documentation Understand the operational of the processes needed to support AVOD operations Communication Skill Time Management,Magang,Content Curation - Content AVOD
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Technical - Content Strategy Technical - Content Design Technical - Content Delivery  Technical - Strategic Communication Plan Technical - Content Review Value - Kompeten Job Performance Value - Amanah	 Value - Kolaboratif Value - Adaptif	 Value - Harmonis	 Value - Loyal,Magang,Content Desiger
PT Home Credit Indonesia,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520 ",Adaptability Dynamic teamwork Designing and processing design scripts Visual Design Presentation skills Designing and creating training materials that are practical and easy to understand,Magang,Content Development
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Neat documentation Understand the operation of the processes needed to support AVOD operations Learning in Maintain Partner Communication Skill Time Management,Magang,Content Live Stream -Content AVOD
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Meningkatkan search engine optimization Paham mengenai content metadata Time Management Team Work Communication Skill,Magang,Content Management- Content Support 
PT TELEKOMUNIKASI SELULAR,"The Telkom Hub, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710","Creative Thinking Information Architecture & Content Strategy Management Personalization & Creative Strategy Business Partnership Management Softskill ""AKHLAK & ACTION""",Magang,Content Management Intern
PT TELEKOMUNIKASI SELULAR,"The Telkom Hub, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710","Business Partnership Management Creative Thinking Personalization & Creative Strategy Softskill ""AKHLAK & ACTION"" Information Architecture & Content Strategy Management",Magang,Content Management Intern
PT TELEKOMUNIKASI SELULAR,"The Telkom Hub, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710","Business Partnership Management Personalization & Creative Strategy Softskill ""AKHLAK & ACTION"" Information Architecture & Content Strategy Management Creative Thinking",Magang,Content Management Intern
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Social Media Content Management Social Media Community Communication skills Able to understand the basic concept of content marketing Time management,Magang,Content Marketing
PT Suitmedia Kreasi Indonesia,"Suitmedia HQ Jl. Pejaten Barat II No. 3A  Jakarta, Indonesia 12510",Understanding of SEO article content writing Understanding of copywriting Understanding of conversation design Understanding of brand persona Understanding of brand development Understanding of content writing Understanding of brand naming & tagline Understanding of content strategy Understanding of website & App Copywriting (UX writing) Understanding of content marketing,Magang,Content Marketing
PT Global Tiket Network,"Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia ",Brand Knowledge  Decision Making and Critical Thinking Creative Thinking  Project Management  Copywriting,Magang,Content Marketing 
PT Linimuda Inspirasi Negeri,"Griya Dros, Jl KH Abdullah Syafei No 1 (Tebet Utara Dalam 34), Kel. Tebet Timur, Kec. Tebet, Kota Adm. Jakarta Selatan, Prov. DKI Jakarta","Digital content analysis through market research and competitor strategies digitally Final project: content production for social media channels MySkill Analytics, insight, reporting and evaluation Understanding the foundation of content marketing on various media channels Production process and marketing content planning on various channels",Magang,Content Marketing Internship Program
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Learning in Maintain Partner Understanding the operation of the processes needed to support AVOD operations Neat documentation Communication Skill Time Management,Magang,Content Partnership - Content AVOD
Yayasan Adipurna Inovasi Asia,(Alamat Tidak Tersedia),Project Management Project Management Leadership Content Production Content Currator Soft Skills,Magang,Content Producer & Currator
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Strategic Communication Plan Content Strategy Content Design Content Delivery Content Review Competent Amanah Harmonic Collaborative Job Performance Loyal Adaptive,Magang,Content Programmer
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Understand the operational processes needed to take down illegal content on various social media platforms Neat documentation Communication Skills Team Work Time Management,Magang,Content Protection
PT Traveloka Indonesia,"Traveloka Campus (d/h Green Office Park 1) North Tower, Jl Grand Boulevard, BSD Green Office Park, Kel. Sampora, Kec. Cisauk,  Kab.Tangerang, Prov. Banten",Core Competency: Communication & Collaboration Technical Competency: Social Media & Community Management Technical Competency: Teamwork Core Competency: Practical Innovation Technical Competency: Owned Media Touchpoints System Core Competency: Accountability Core Competency: Drive for Result Technical Competency: Creative Thinking Technical Competency: Project Management,Magang,Content & Social Media Marketing Intern
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Neat and detailed documentation Understand the operational processes needed to support operations Video On Demand Communication Skill Time Management Team Work,Magang,Content SVOD
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Meningkatkan search engine optimization Paham mengenai content metadata Time Management Team Work Communication Skill,Magang,Content Taxonomy - Content Support
PT Cloud Hosting Indonesia,"Sentral Senayan II, Jl. Asia Afrika No.8, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Analyzing published articles Research and data collection Mastering Basic Search Engine Optimization (SEO Introduction to Wordpress) Planning content for articles and publications Identifying company marketing elements Preparing promotional materials in the form of articles that support company publications and marketing.,Magang,Content Writer
PT Sebangku Jaya Abadi,Yogyakarta,Design Thinking Article and News Writing / journalism Language Use Research Copywriting Psychology of Communication,Magang,Content Writer
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Content Delivery Strategic Communication Plan Content Strategy Content Review Content Design Value - Adaptif Value - Loyal	 Value - Kolaboratif	 Value - Amanah	 Value - Kompeten	 Job Performance,Magang,Content Writer
PT Hashmicro Solusi Indonesia,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat",SEO Marketing Communication Editorial Brand Awareness Kedisiplinan,Magang,Content Writer
PT Home Credit Indonesia,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520 ",Dynamic teamwork Adaptability Designing and writing related blog articles Presentation skill Article material,Magang,Content Writer
PT Global Digital Niaga,"Jl. Budi Kemuliaan 1 No. 1, Gambir, Jakarta Pusat","Ability to think ""out of the box"" Ability to adapt in a new environment Ability to create articles Teamwork",Magang,Content Writer & Copywriter Intern
PT Uni Tokopo Teknologi,"Jl. Simprug Golf III No. 71, Grogol Selatan, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Creative Writing EDM Social Organization and Civil Society Empowerment Basic Marketing Critical Thinking New Media,Magang,Content Writer Intern
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Software Development Practicing Database Analysis  Presentation Skill Root Cause Analysis Warehouse Management System Project Management Problem Solving,Magang,Contiuous Improvement Jr. Associates Intern
PT Simplefi Teknologi Indonesia,"Tokopedia Tower Ciputra World 2 Lt.37 Jl. Prof. Dr. Satrio No. Kav. 11 RT.3/ RW.3, Karet Semanggi, Jakarta Selatan 12950",Designing and managing the AwanTunai brand voice Creating content for corporate social campaign purposes Collaborating with the corporate branding & communication team in designing content creation for campaigns Creating scripts for creating corporate social campaign video content Collaborating with other divisions in the company for creative content creation,Magang,Copywriter
PT Cloud Hosting Indonesia,"Sentral Senayan II, Jl. Asia Afrika No.8, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Identify the company's target audience. Make copywriting that suits the company's target audience.Identify company marketing elements Fundamentals of Copywriting Create copywriting according to social media platforms and company promotional needs.,Magang,Copywriter
Yayasan Adipurna Inovasi Asia,(Alamat Tidak Tersedia),Copywriting Soft Skills  Content writing Performance Kehadiran,Magang,Copywriter
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Content Review Strategic Communication Plan Content Strategy Job Performance Content Design Content Delivery Value - Amanah	 Value - Kompeten	 Value - Kolaboratif	 Value - Loyal	 Value - Harmonis	 Value - Adaptif,Magang,Copywriter 
PT Mitra Integrasi Informatika,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Basic Copywriting Digital Marketing framework Advertised Copy Wrting  Digital Marketing 101 Digital Marketing Plan Social Media Plan Traffic and Funneling,Magang,Copy Writer
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Familiar dengan Adobe Family Memiliki Creative Thinking Communication skills Time Management Writing skills,Magang,Copywriter - Creative Marketing 
PT Karya Dua Anyam,(Alamat Tidak Tersedia),Creating Copywriting for Content Marketing Follow Up Marketing Request Creating Content from the Marketing Request Form Creating Copywriting for Applications Conducting research to formulate ideas or support writing,Magang,Copywriter Intern
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Strategic Communication Plan Content Delivery Content Design Content Review Content Strategy Value - Kolaboratif	 Value - Amanah	 Value - Loyal	 Value - Harmonis	 Value - Adaptif	 Job Performance Value - Kompeten,Magang,Copy Writing
UPT Solo Technopark,"Jl. Ki Hajar Dewantara No.19, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah, Indonesia 57126",Project Management and Time Management Adaptability Communication and Collaboration Creativity Leadership and Teamwork Problem Solving and Critical Thinking Work Ethics and Professionalism,Magang,Copywriting and Content Writer Officer 
PT Home Credit Indonesia,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520 ",Adaptability Dynamic teamwork Project Management Development Skill Demand Management,Magang,Core System Analyst
PT Nodeflux Teknologi Indonesia,Jakarta Indonesia,IMC practice Corporate Communication Analysis and Improvement  IMC (Integrated Marketing Communication) Corporate Communication practice Corporate Communication,Magang,Corporate Affairs
PT Simplefi Teknologi Indonesia,"Tokopedia Tower Ciputra World 2 Lt.37 Jl. Prof. Dr. Satrio No. Kav. 11 RT.3/ RW.3, Karet Semanggi, Jakarta Selatan 12950",Help implement good communication relationships between departments as well as internal and external parties AwanTunai Collaborate with People Generalist to create AwanTunai events Able to assist day-to-day daily operations in the Corporate Affaris Team Collaborate with People Team regarding events with internal and external parties AwanTunai Manage the entire procurement process related to AwanTunai products and services,Magang,Corporate Affairs
PT XL Axiata Tbk,(Alamat Tidak Tersedia),Communication Agility Time Management Project Management Microsoft Office,Magang,Corporate Communication Intern
PT Huawei Tech Investment,(Alamat Tidak Tersedia),Project Management Public Relation,Magang,Corporate Editorial
PT GOTO Gojek Tokopedia,(Alamat Tidak Tersedia),Technical Skills,Magang,Corporate Internship
PT Hashmicro Solusi Indonesia,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat",Time Management Skill Introduction to Company Contracts Drafting and Reviewing Business Contracts Corporate Legal Compliance Analysis Discipline,Magang,Corporate Legal
PT XL Axiata Tbk,(Alamat Tidak Tersedia),Legal  Project Management Time Management Communication skills Agility,Magang,Corporate Secretary Intern
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,Project Management Public Speaking Community Management Coworking Space Manager Social Media promotion,Magang,Coworking Space Manager
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Team Work Communication Skills Memiliki Creative Thinking Time Management Kemampuan Planning,Magang,Crative Planner (Emtek Digital)
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Familiar dengan Adobe Family Time Management Communication Skills Memiliki Creative Thinking Team Work,Magang,Creative Design (Emtek Digital)
PT Nodeflux Teknologi Indonesia,Jakarta Indonesia,Basic knowledge of design applications Design Thinking based on Nodeflux's Visual Guideline Nodeflux Online Content Basic knowledge of cameras Basic knowledge of graphic design,Magang,Creative Designer
PT Global Digital Niaga,"Jl. Budi Kemuliaan 1 No. 1, Gambir, Jakarta Pusat",Ability to create innovative visual designs as creative solutions Ability to communicate and work with others Self Leadership Ability Ability to create design concepts Ability to Analyze and Problem Solving,Magang,Creative Designer Intern
PT. Grab Teknologi Indonesia,Gedung Lippo Kuningan Lt. 27 Jl. HR. Rasuna Said Kav. B 12 Karet Kuningan Setiabudi  Jakarta Selatan ,Professional Attributes Business Acumen & Project Management Professional Development General Training & Participation Project Presentation,Magang,"Creative Marketing, Branding, and Communications"
PT Hashmicro Solusi Indonesia,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat",Planning Skills Analytical and Strategic Thinking Copywriting Creative Thinking Kedisiplinan,Magang,Creative Promotion
PT Stadikel Edukasi Teknologi,"Jl. Ki Hajar Dewantara No. 73, Jawa Barat",Communication and Teamwork Brand and Identity Design Editorial Design Creative Thinking UI/UX Design Digital Illustration Adaptability Character Design Concept Drawing Project Management,Magang,Creative Visual Designer
PT Nodeflux Teknologi Indonesia,Jakarta Indonesia,Introduction to Computer Vision & Image Analytics Practical Guidelines to Code Quality and Review Process Software Testing and its Automation Introduction to Modern C++ Introduction to C++/Python Analytics Development on Nodeflux Analytics Platform DevOps Lifecycle & Culture Containerization using Docker,Magang,C++ Software Engineer
PT Cerdas Digital Nusantara,"Jl. Makaliwe Raya No.36 RT.002 RW.005 Grogol, Grogol Petamburan Jakarta Barat, DKI Jakarta",Softskills II: Developing critical thinking skills in solving problems and finding solutions (SKKNI P.85SOF00.004.1) Analysis of digital learning needs Development of digital learning curriculum Softskills I: Building effective communication skills (SKKNI P.85SOF00.017.1) Development of digital learning materials Design interactive learning materials Softskills III: Developing ability to face challenges in the workplace (SKKNI P.85SOF00.009.1 ) Development of digital learning exam/assessment manuscripts,Magang,Curriculum and Content Developer
PT Sebangku Jaya Abadi,Yogyakarta,Review and develop curriculum Writing scientific papers Development of Educational Thematic Learning Media Integrative Teaching and Learning Strategies,Magang,Curriculum Designer
PT ECART WEBPORTAL INDONESIA,(Alamat Tidak Tersedia),Problem Solving UI/UX Manajemen Proyek Presentation Skill Membuat Product Requirement Document (PRD) Research Design & Methodology  E2E Customer Journey,Magang,Customer Experience Intern
PT Home Credit Indonesia,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520 ",Analyzing customer research data. Teamwork dynamically. Conducting research/data collection. Ability to communicate with customers. Create practical and easy-to-understand research designs.,Magang,Customer Researcher 
PT Cloud Hosting Indonesia,"Sentral Senayan II, Jl. Asia Afrika No.8, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Frequently Asked Questions Handling Disappointed Customers Excellent Service Awareness Using a Ticketing System Understanding Product Knowledge Effective Communication Communication Techniques,Magang,Customer Support
PT XL Axiata Tbk,(Alamat Tidak Tersedia),Marketing Communication skills Agility Time Management Project Management,Magang,CVEM Intern
PT XL Axiata Tbk,(Alamat Tidak Tersedia),Agility Microsoft Office Time Management Project Management Communication skills,Magang,CVM Intern
PT Central Artificial Intelligence,(Alamat Tidak Tersedia),Jr. Cyber Security Jr. Linux System Administrator System Analyst QA Testing Project Management Public Speaking Team Work,Magang,Cyber Security
PT GIT SOLUTION,(Alamat Tidak Tersedia),"Reconnaissance and Scanning Understanding of cybersecurity sub-subjects and being able to independently explore and convey ideas both in writing and orally in the realm of cybersecurity which consists of data security, software security, system security, human security, organizational security, and social aspects Document security Penetration Testing Maintaining Access Covering Tracks ""Quality understanding of the following parameters and using the Assessment method grading for each existing parameter - ✔ The results of understanding and solutions given to existing problems.✔ Results of literature review ✔ Results of data analyst algorithm selection ✔ Results of implementation of data analyst algorithms quality of participants' understanding of the principles of data analysis and the ""Gaining Access"" portfolio",Magang,Cyber Security
Kementerian Komunikasi dan Informatika,(Alamat Tidak Tersedia),"Analyzing Small and Medium Computer Networks (CCNA Introduction to Networks) Designing Enterprise Scale Computer Networks and Their Security and Automation (CCNA Enterprise Networking, Security, and Automation) Communication and Collaboration Evaluating Security Alerts Detected by SIEM (CyberOps Associate) Evaluating Computer Networks and Devices ( CCNA Switching, Routing, and Wireless Essentials) Project",Magang,Cybersecurity Analyst
PT Semesta Integrasi Digital,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Platform Defense System Design Coordination Capability Analysis of Platform Defense System Requirements Penetration Test Process Platform Defense System Design,Magang,Cyber Security Analyst
UPT Solo Technopark,"Jl. Ki Hajar Dewantara No.19, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah, Indonesia 57126",Adaptability Problem Solving and Critical Thinking Leadership and Teamwork Creativity Project Management and Time Management Communication and Collaboration Work Ethics and Professionalism,Magang,Cyber Security Officer
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Data Analytics Data Management Data Engineering Data Visualization Data Processing & Data Modelling  Job Performance Value - Loyal  Value - Adaptif	 Value - Harmonis	 Value - Kompeten	 Value - Kolaboratif	 Value - Amanah,Magang,Data Analyst
PT Adma Digital Solusi,"Jl. Sidosermo Airdas No.A8, Sidosermo, Kec. Wonocolo, Kota SBY, Jawa Timur 60239","Data Processing using Tools Tableau Data Analytics with Existing Algorithm Adaptability Collaboration & Implementation Problem Solving with Data Analytics Teamwork Technical Introduction (Excel, MySQL) Technical Introductions Tableau Data Analysis with Tableau Tools",Magang,Data Analyst
PT GIT SOLUTION,(Alamat Tidak Tersedia),"Understanding of Database Programming Languages ​​Understanding of Data Analytics Programming Languages ​​Understanding of Statistical Methods of Data Analyst Visualization Class orientation (Brainstorming, Team Work, Introduction to Tools,)",Magang,Data Analyst
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat",Data Manipulation Data Analysis Collaboration Pemahaman Tools Communication Skill,Magang,Data Analyst
PT Semesta Integrasi Digital,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Data analysis Data Visualization and Reporting Data Storytelling Creating an Internal Dashboard Coordination Ability,Magang,Data Analyst
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung",Data Analytics Data Management Data Processing & Data Modelling  Data Engineering Data Visualization Value - Kompeten	 Value - Adaptif	 Value - Amanah	 Value - Loyal	 Job Performance Value - Kolaboratif	 Value - Harmonis,Magang,Data Analyst
PT Huawei Tech Investment,(Alamat Tidak Tersedia),Project Management KPI 1 iLearningX HCIA - Security HCIA - Access,Magang,Data Analyst
PT Simplefi Teknologi Indonesia,"Tokopedia Tower Ciputra World 2 Lt.37 Jl. Prof. Dr. Satrio No. Kav. 11 RT.3/ RW.3, Karet Semanggi, Jakarta Selatan 12950","Prepare data reports for daily, weekly, monthly needs Assist in making data visualization Assist in data analysis Collaborate with relevant departments to support the smooth running of Business Intelligence (BI) Collaborate with other departments in creating insights and data analysis",Magang,Data Analyst
PT Vidio Dot Com,"SCTV Tower, Senayan City, Jakarta Pusat","May collect, organize, and interpret statistical information to help colleagues and clients use it to make decisions.Communication Skills Data Manipulation Data Analysis Collaboration",Magang,Data Analyst (Emtek Digital)
